Id,Title,Artist,Genre
188,다시 사랑할 수 있게,멜로망스,Ballad
189,봄 사랑 벚꽃 말고,아이유,Ballad
190,네가 보고 싶은 건 자연스러운 거겠지,신예영,Ballad
191,되돌리다,먼데이 키즈 (Monday Kiz),Ballad
192,사랑했지만,전건호,Ballad
193,혼자 사랑하면 되니까,Kid Wine,Ballad
194,우연히 봄,유주 (YUJU),Ballad
195,청소 (여름날 우리 X 스탠딩 에그),스탠딩 에그,Ballad
196,봄이야,경서,Ballad
197,Hello,백현 (BAEKHYUN),Ballad
198,사랑이 이별이 돼 가는 모습이,볼빨간사춘기,Ballad
199,혼자가 아닌 나,정효빈,Ballad
200,니 번호가 뜨는 일,이예준,Ballad
201,"피어나 (Between you, me and the lamppost)",LE SSERAFIM (르세라핌),Ballad
202,너와 함께,김민석,Ballad
203,바보가슴,한빈 (포맨),Ballad
204,이러면 안 될 거 아는데 너 앞에만 서면 나락 (Feat. 10CM),딘딘 (DINDIN),Ballad
205,가장 아름다운 시간이었다,주호,Ballad
206,있잖아,폴킴,Ballad
207,화장을 고치고,차가을,Ballad
208,우린 헤어지지 않았을까,김나영,Ballad
209,사랑한다고 말해줘,탑현,Ballad
210,그대라는 사치,임창정,Ballad
211,사랑해도 될까요,양다일,Ballad
212,사랑의 인사,김연지,Ballad
213,혼자서 걸어요 (Prod. by 나얼),태연 (TAEYEON),Ballad
214,이젠 안녕,투모로우바이투게더,Ballad
215,미친거니,포맨 (4MEN),Ballad
216,듣고 싶을까,MSG워너비(M.O.M),Ballad
217,너 하나 빼는 일,허각,Ballad
218,Love Blossom (러브블러썸),케이윌,Ballad
219,그 겨울이 잠든 거리에서,전건호,Ballad
220,꽃,양다일,Ballad
221,너는 기억한다,폴킴,Ballad
222,I Need You,지아,Ballad
223,걸음을 멈추는 날,나얼,Ballad
224,세상에 없는 계절,임재현,Ballad
225,사계 (Four Seasons),태연 (TAEYEON),Ballad
226,가슴으로 운다,김연지,Ballad
227,오랜만이야,한동근,Ballad
228,안녕 신촌,포스트맨 (POSTMEN),Ballad
229,나였으면,전상근,Ballad
230,흩어지지 않게,엠씨더맥스 (M.C the MAX),Ballad
231,뻔한 발라드,BIG Naughty (서동현),Ballad
232,아픈 나를 (Prod. By 나얼),성시경,Ballad
233,하루에 하나씩,폴킴,Ballad
234,그래서 그대는,이영현,Ballad
235,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈,Ballad
236,다시 와주라,노을,Ballad
237,나의 목소리로,김호중,Ballad
238,통화연결음,MJ (써니사이드),Ballad
239,고백연습,경서,Ballad
240,추억때문에,유림,Ballad
